Install Date,Unit Number,Marina Name,Seabin Address,City,State,Seabin Country,Latitude N/S,Longitude E/W
1/7/2020,1,Dun Laoghaire Harbour,"D�n Laoghaire, Co. Dun Laoghaire-Rathdown, Ireland",Dun Laoghaire-Rathdown,Dublin,Ireland,53.29879,-6.132905
1/7/2020,2,Howth Yacht Club,"2 16 W Pier, Howth, Dublin, Ireland",Howth,Fingal,Ireland,53.392414,-6.068734
13/12/2018,1,ICMS,"Banagher, County Offaly, Ireland",County Offaly,Tullamore,Ireland,53.193547,-7.991319
25/3/2018,1,Banagher,"1015, Banagher, County Offaly, Ireland",County Offaly,Tullamore,Ireland,53.192679,-7.992946
,1,Dingle Marina,"Kerry, Ireland",Dingle,County Kerry,Ireland,52.138314,-10.277768
,1,Royal Irish Yacht Club,"1 7 Harbour Rd, D�n Laoghaire",D�n Laoghaire,Dublin,Ireland,53.296556,-6.136878
,2,Royal Irish Yacht Club,"2 7 Harbour Rd, D�n Laoghaire",D�n Laoghaire,Dublin,Ireland,53.296516,-6.134867
,1,"The Docks, Galway Harbour","1 Dun Aengus, 102 Dock St, Galway, Ireland",Galway,Connaught,Ireland,53.26986,-9.051677
,2,"The Docks, Galway Harbour","2 Dun Aengus, 102 Dock St, Galway, Ireland",Galway,Connaught,Ireland,53.269626,-9.051241
,3,"The Docks, Galway Harbour","3 Dun Aengus, 102 Dock St, Galway, Ireland",Galway,Connaught,Ireland,53.269455,-9.0499
21/12/2018,1,Acquatica SRL,"Grotte di Nettuno - Alghero, 07041 Alghero SS, Italy",Alghero,Sardinia,Italy,40.560223,8.313492
21/12/2018,1,Club Nautico Della Vela,"Naples, Metropolitan City of Naples, Italy",Naples,Campania,Italy,40.828944,14.247222
20/12/2018,1,Capo D Orlando Marina,"San Gregorio-Bagnoli, Province of Messina, Italy",San Gregorio-Bagnoli,Province of Messina,Italy,38.156063,14.766129
13/12/2018,1,Dragflow SUD,"Reggio Calabria, Province of Reggio Calabria, Italy",Reggio Calabria,Calabria,Italy,38.185391,15.635116
12/12/2018,1,Autorita Di Sistema Portuale,"Tyrrhenian Sea, Naples, Metropolitan City of Naples, Italy",Naples,Campania,Italy,40.843327,14.262253
7/9/2018,1,VDV SRL,"Venetian Lagoon, Metropolitan City of Venice, Italy",Metropolitan City of Venice,Veneto,Italy,45.433522,12.375181
7/9/2018,1,Marina Di Cattolica,"Darsena Marinai d'Italia, 47841 Cattolica RN, Italy",Cattolica,Emilia-Romagna,Italy,43.971075,12.747788
28/8/2018,1,Marina Del Cesaro,"Fano, Province of Pesaro and Urbino, Italy",Fano,Marche,Italy,43.851815,13.020065
28/5/2018,1,Augusta In Cala Madonna Del Carmine,"Augusta, Province of Syracuse, Italy",Augusta,Piedmont,Italy,37.231412,15.223377
3/5/2018,1,Roccela Ionica Rc,"Roccella Ionica, Province of Reggio Calabria, Italy",Roccella Ionica,Calabria,Italy,38.328223,16.435702
3/5/2018,1,Comune Si Santa Margherita Ligure,"Santa Margherita Ligure, Metropolitan City of Genoa, Italy",Santa Margherita Ligure,Liguria,Italy,44.334138,9.214214
,1,Porto Lotti,"Lotti S.p.A.- Viale San Bartolomeo, 394, 19126 La Spezia",La Spezia,Liguria region,Italy,44.097028,9.859222
4/1/2020,3,Enoshima Yacht Harbor,"3 Chome-12-2 Enoshima, Fujisawa, Kanagawa 251-0036",Fujisawa,Kanagawa,Japan,35.3007,139.483847
7/1/2020,1,Edu Lake,"1 1-chōme-35 Ezu, Higashi-ku, Kumamoto, 862-0942, Japan",Kumamoto,Kyushu,Japan,32.780683,130.738508
7/1/2020,2,Edu Lake,"2 Ezu Lake, Higashi Ward, Kumamoto, Japan",Kumamoto,Kyushu,Japan,32.772599,130.751181
26/6/2019,1,Hamanako YAMAHA Marina,"1380 Iride, Kosai, Shizuoka 431-0411",Shizuoka,Chūbu,Japan,34.755655,137.520305
6/6/2019,1,Marushima Fishing Port,"2-chōme-8 Marushimachō, Minamata, Kumamoto 867-0058",Kumamoto,Kyushu,Japan,32.213785,130.386911
30/5/2019,1,Enoshima Yacht Harbor,"1 Chome-12-2 Enoshima, Fujisawa, Kanagawa 251-0036",Fujisawa,Kanagawa,Japan,35.3005,139.483847
30/5/2019,2,Enoshima Yacht Harbor,"2 Chome-12-2 Enoshima, Fujisawa, Kanagawa 251-0036",Fujisawa,Kanagawa,Japan,35.3006,139.483847
,1,T Harbor Company Ltd,t-harbor-company-ltd,,,Japan,35.619791,139.747471
21/12/2018,1,Motor Yacht Lady Candy,"Kota Kinabalu, Sabah, Malaysia",Kota Kinabalu,Sabah,Malaysia,5.958457,116.056277
,1,Porto Montenegro,"Porto Montenegro, Tivat, Montenegro",Tivat,Montenegro,Montenegro,42.433921,18.691233
14/9/2018,1,Marina Muizerland,"Almere, Netherlands",Almere,Flevoland,Netherlands,52.341684,5.133491
30/3/2018,1,Deko Marina Lelystad,"Lelystad, Netherlands",Lelystad,Flevoland,Netherlands,52.533267,5.441661
29/3/2018,1,Willeminahaven Schiedam,"Schiedam, Netherlands",Schiedam,South Holland,Netherlands,51.900925,4.397468
7/1/2020,1,Tauranga Bridge Marina,"101 Te Awanui Drive, Harbour Bridge Causeway, 3116",Tauranga,Bay of Plenty,New Zealand,-37.671509,176.178859
29/4/2019,1,Tutukaka Marina,"Tutukaka, RD3 Whangarei 1073, Aotearoa New Zealand",Whangarei,Northland Region,New Zealand,-35.610159,174.528984
,1,Viaduct Marina,"Auckland, New Zealand",Aukland,Aukland,New Zealand,-36.842366,174.760538
,1,Half Moon Bay Marina,"50 Argo Drive, Half Moon Bay, 2012, Auckland",Auckland,Auckland Region,New Zealand,-36.877986,174.901044
,1,Bangor Marina,"1 Bregenz House, 5 Quay St, Bangor BT20 5ED, United Kingdom",Bangor,Gwynedd county,Northern Ireland,54.664543,-5.672669
,2,Bangor Marina,"2 Bregenz House, 5 Quay St, Bangor BT20 5ED, United Kingdom",Bangor,Gwynedd county,Northern Ireland,54.664895,-5.670062
,3,Bangor Marina,"3 Bregenz House, 5 Quay St, Bangor BT20 5ED, United Kingdom",Bangor,Gwynedd county,Northern Ireland,54.663643,-5.66959
,1,Belfast Harbour Marina,"Harbour Office, Corporation Square, Belfast BT1 3AL, United Kingdom",Belfast,County Down,Northern Ireland,54.605512,-5.919695
19/4/2018,1,Oslo Port Authority,"Inner Oslofjord, Norway",Oslo Fjord,Oslo,Norway,59.901651,10.756396
8/1/2019,1,Wartsila Panama Services,"Veracruz, Panama",Veracruz,Mexico,Panama,8.923488,-79.576785
1/5/2020,1,	 Douro Marina,20236 Mokošica-Komolac,Vila Nova de Gaia,Porto District,Portugal,41.142212,-8.649847
26/10/2018,1,Clube Naval De Cascais,"Oceano Atl�ntico, Portugal",Cascais,Lisbon District,Portugal,38.694521,-9.418427
?,1,Fari Islands,"Kaafu Atoll, Island 4, Rah Falhu Huraa, Fari Islands, Maldives",Rah Falhu Huraa,Fari Islands,Republic of Maldives,4.59330632,73.58375666
1/6/2018,1,Wartsila Hungary,"Black Sea, Constanța, Romania",Constanța,	Constanța,Romania,44.100099,28.65822
,1,Stornoway Port Authority,"1 Stornoway, Scotland",Stornoway,Ross-shire,Scotland,58.208491,-6.392495
,2,Stornoway Port Authority,"2 Stornoway, Scotland",Stornoway,Ross-shire,Scotland,58.207102,-6.392127
,1,Fraserburgh," Fraserburgh, United Kingdom",Fraserburgh,Aberdeenshire,Scotland,57.691947,-2.002633
,1,Yacht Garcon,Seychelles,,,Seychelles,,
28/3/2018,1,"ONE°15 MARINA SENTOSA COVE, SINGAPORE","Sentosa Cove, Singapore",Sentosa Cove,,Singapore,1.246799,103.84021
,1,Marina at Keppel Bay,Keppel Bay,2 Keppel Bay Vista,,Singapore,1.264313,103.812948
,2,Marina at Keppel Bay,Keppel Bay,2 Keppel Bay Vista,,Singapore,1.264269,103.812694
